Bias,Fairway%,GIR%,Avg. Putts,Scarmbling %,Avg. Score
1,65.04,70.24,29.63,58.67,69.8
1,69.79,66.57,29.29,61.03,71.63
1,62.34,67.93,28.47,66.1,69.29
1,63.83,65.8,28.82,57.94,70.72
1,53.49,61.9,28.34,59.09,70.79
1,65.06,67.12,29.64,59.83,71.07
1,57.6,68.58,29.53,55.69,70.44
1,63.64,66.49,28.91,62.69,70.66
1,72.24,68.67,29.12,62.27,70.43
1,60.47,69.24,30.36,52.56,71.02
1,54.94,65.38,29.13,54.42,70.82
1,58.38,70.31,29.48,56.44,71.19
1,66.02,69.95,28.67,63.03,68.99
1,58.34,66.53,29.19,56.22,70.52
1,60.17,66.67,28.94,59.07,70.26
1,66.41,67.01,28.97,57.11,70.59
1,65.6,68.04,29.26,58.59,70.75
1,56.85,68.28,28.76,63.28,69.44
1,57.27,64.79,29.23,60.34,71.03
1,60.58,68.2,29.32,60.59,71
1,75.19,73.51,29.93,60.67,69.62
1,71.94,68.8,29.17,64.16,70.02
1,71.29,71.09,29.89,54.8,70.4
1,60.09,64.7,28.99,58.35,70.66
1,68.98,71.2,29.66,56.89,70.46
1,67.85,70.16,29.47,57.98,69.89
1,59.46,70.57,28.47,62.5,68.7
1,66.18,69.48,29.63,55.76,70.53
1,57.91,65.17,29.43,58.6,71.28
1,63.88,67.43,28.62,62.35,69.91
1,51.99,65.52,29.81,55.24,72.15
1,63.2,63.73,29.21,58.56,71.73
1,62.93,65.16,28.74,57.6,70.89
1,62.05,67.85,29.07,61.36,70.69
1,64.57,68.99,30.03,54.01,71.62
1,60.47,60.2,29.1,53.32,73.02
1,61.55,70.47,29.09,61.63,69.9
1,59.24,63.02,29.09,54.93,71.72
1,59.2,70.12,29.14,57.18,69.96
1,63.73,68.29,29.5,59.62,70.9
1,58.59,69.42,29.65,56.55,70.92
1,52.91,64.88,28.11,58.36,70.1
1,59.77,65.59,29.18,57.81,70.49
1,65.33,67.04,29.67,58.2,71.49
1,56.85,68.28,28.76,63.28,69.44
1,64.13,64.66,28.07,63.62,70.29
1,55.79,66.3,28.46,62.97,69.3
1,64.98,69.36,29.3,55.77,69.34
1,58.59,69.42,29.65,56.55,70.92
1,61.2,68.65,30.04,53.48,70.75
1,55.5,64.59,29.24,52.51,72.04
1,70.03,68.77,29.8,54.33,70.49
1,55.41,61.28,28.1,60.17,71.55
1,59.35,67.4,28.49,64.16,69.35
1,56.72,63.2,29.24,52.4,71.95
1,55.5,64.59,29.24,52.51,72.04
1,58.32,65.28,28.24,62.35,69.6
1,55.27,67.42,29.42,55.76,71.15
1,60.94,67.65,29.48,61.83,71.27
1,54.69,56.79,27.82,54.86,73.18
1,66.83,63.03,28.45,57.51,71.02
1,58.9,56.94,28.31,52.85,72.53
1,53.27,63.39,28.85,61.09,70.85
1,53.58,61.85,30.2,44.01,73.62
1,64.58,66.89,29.42,58.94,70.32
1,55.09,70.18,29.03,57.22,69.52
1,62.65,65.05,28.56,60.81,71.2
1,57.03,63.18,28.36,61.12,70.52
1,54.79,65.67,28.86,55.88,70.72
1,63.14,67.84,29.07,60.58,69.85
1,58.06,70.37,29.59,55.11,70.44
1,64.67,69.98,29.66,57.46,70.84
1,62.51,70.66,30.15,54.85,70.42
1,66.63,68.89,29.58,55.65,71.33
1,62.23,69.65,29.18,59.84,69.65
1,57.31,63.58,28.94,59.53,71.15
1,62.82,69.29,29.21,60.8,70.02
1,67.51,67.02,29.15,59.91,70.69
1,56.33,67.96,29.26,55.68,70.86
1,63.69,62.64,29.31,56.67,72.45
